user_id,movie_id,rating,max_progress_percent,favourite,in_watchlist,view_count,last_watched_at
10,69492,,85,0,1,3,2025-12-18 01:56:05.017054
10,28932,,80,0,0,1,2026-02-02 01:56:05.032371
10,372754,,85,0,1,2,2025-12-10 01:56:05.042977
10,210479,,82,0,0,6,2025-10-20 01:56:05.053147
10,16071,,80,0,0,7,2025-10-30 01:56:05.064748
10,32248,,92,0,0,2,2025-12-03 01:56:05.076979
10,20898,3.0,10,0,0,1,2025-11-20 01:56:05.076979
10,1059641,,90,0,0,5,2025-11-15 01:56:05.090513
10,435,,22,0,0,1,2025-10-02 01:56:05.090513
10,17450,,85,0,0,5,2026-03-23 01:56:05.098906
10,1225572,,94,0,0,4,2026-01-06 01:56:05.108222
10,4421,,21,0,0,1,2025-11-24 01:56:05.108222
10,608,,99,0,1,7,2025-10-23 01:56:05.117154
10,84892,,88,0,0,2,2026-03-04 01:56:05.128136
10,1318642,,97,0,0,6,2025-12-26 01:56:05.136798
10,23154,,16,0,0,1,2026-02-03 01:56:05.139335
10,570587,,19,0,0,1,2026-03-04 01:56:05.139335
10,417859,,89,0,0,3,2025-10-30 01:56:05.146886
10,2355,,88,0,0,4,2025-12-28 01:56:05.151531
10,249397,,82,0,0,6,2026-01-17 01:56:05.158142
10,516329,,92,0,1,6,2026-02-13 01:56:05.166735
10,729248,,100,0,1,8,2025-10-11 01:56:05.171264
10,10381,,85,0,0,7,2025-10-30 01:56:05.179753
10,482036,,24,0,0,1,2025-11-17 01:56:05.179753
10,20898,,10,0,0,1,2025-10-30 01:56:05.179753
10,489245,,92,0,0,4,2025-12-30 01:56:05.187850
10,14553,,100,0,0,4,2026-02-25 01:56:05.198179
10,726888,,95,0,0,3,2025-11-07 01:56:05.206740
10,638965,,83,0,0,3,2025-11-20 01:56:05.213023
10,329865,,82,0,0,2,2026-01-28 01:56:05.221345
10,26798,,94,0,0,3,2025-12-23 01:56:05.229445
10,723355,,95,0,0,5,2025-11-08 01:56:05.236143
10,640146,,25,0,0,1,2026-01-30 01:56:05.237168
10,59437,,99,0,0,1,2025-12-09 01:56:05.238407
10,457,,96,0,1,5,2025-11-13 01:56:05.251490
10,573631,,86,0,0,4,2026-02-26 01:56:05.258075
10,9563,,80,0,1,3,2026-02-26 01:56:05.266126
10,60568,,87,0,0,3,2026-01-04 01:56:05.271710
10,4169,,96,0,0,1,2025-11-18 01:56:05.278510
10,228326,,92,0,1,3,2025-11-28 01:56:05.287099
10,414453,,81,0,0,7,2026-02-03 01:56:05.302695
10,11452,,94,0,1,3,2026-03-29 01:56:05.306787
10,1045931,,81,0,0,4,2026-02-09 01:56:05.316494
10,46705,,82,0,0,2,2025-12-22 01:56:05.319570
10,18941,,87,0,0,2,2026-01-19 01:56:05.328121
10,20048,,89,0,0,5,2025-12-02 01:56:05.336708
10,389015,,45,0,1,1,2026-02-06 01:56:05.336708
10,102463,,89,0,0,1,2025-12-05 01:56:05.344004
10,10655,,93,0,0,5,2025-11-24 01:56:05.348093
10,1226406,,83,0,0,1,2026-01-09 01:56:05.357150
10,1452,,34,0,0,1,2026-02-05 01:56:05.360214
10,1791,,89,0,0,6,2025-12-10 01:56:05.360214
10,134375,,30,0,0,1,2025-10-17 01:56:05.366914
10,539681,,93,0,1,1,2026-02-16 01:56:05.367911
10,65759,,88,0,1,4,2026-01-30 01:56:05.381165
10,1005972,,82,0,0,7,2025-11-24 01:56:05.387755
10,345922,,88,0,1,3,2025-11-04 01:56:05.397273
10,760765,,91,0,1,1,2026-01-12 01:56:05.400923
10,38952,,86,0,0,1,2026-03-20 01:56:05.409340
10,504949,,85,0,0,8,2025-12-13 01:56:05.417136
10,947,,80,0,1,8,2025-10-23 01:56:05.426067
10,1548017,,85,0,0,8,2026-02-04 01:56:05.428104
10,407451,,21,0,0,1,2026-02-05 01:56:05.428104
10,505192,,94,0,1,2,2025-12-09 01:56:05.436835
10,998771,,11,0,1,1,2026-02-24 01:56:05.436835
10,84308,,86,0,0,6,2026-02-02 01:56:05.448101
10,1807,,99,0,0,8,2025-10-24 01:56:05.449896
10,898705,,85,0,0,7,2026-03-01 01:56:05.458307
10,18240,,97,0,1,1,2025-10-05 01:56:05.467036
10,776670,,80,0,0,3,2026-03-24 01:56:05.476750
11,567604,,82,0,0,4,2025-11-02 01:56:05.482858
11,1268552,,85,0,0,4,2025-11-07 01:56:05.490944
11,45439,,90,0,0,3,2025-11-04 01:56:05.497852
11,71880,,81,0,0,1,2025-10-26 01:56:05.499404
11,9208,,41,0,0,1,2025-12-21 01:56:05.499404
11,8217,,89,0,0,1,2026-02-05 01:56:05.511150
11,921711,,90,0,0,3,2025-12-26 01:56:05.517911
11,143217,,93,0,0,2,2025-10-19 01:56:05.526877
11,1034062,,17,0,0,1,2025-11-19 01:56:05.526877
11,11852,,88,0,0,4,2025-10-07 01:56:05.531438
11,3115,,96,0,0,8,2025-10-26 01:56:05.539773
11,9902,,30,0,0,1,2026-02-16 01:56:05.539773
11,1165642,,7,0,0,1,2026-03-29 01:56:05.539773
11,9602,,19,0,0,1,2025-12-09 01:56:05.539773
11,430447,,100,0,0,4,2026-02-22 01:56:05.550016
11,592348,,84,0,0,4,2025-12-22 01:56:05.558131
11,579741,,95,0,0,3,2026-02-03 01:56:05.564190
11,9354,,81,0,0,1,2026-02-23 01:56:05.566751
11,9637,,94,0,1,1,2026-01-15 01:56:05.578012
11,85665,,26,0,0,1,2026-02-02 01:56:05.580579
11,1043197,,80,0,0,8,2025-10-04 01:56:05.587190
11,58244,,90,0,0,1,2025-10-12 01:56:05.588973
11,590,,43,0,0,1,2026-01-14 01:56:05.588973
11,51859,,94,0,0,5,2026-02-10 01:56:05.597971
11,21185,,84,0,0,8,2026-02-23 01:56:05.606906
11,410113,,88,0,0,3,2026-01-18 01:56:05.616203
11,256835,,93,0,0,3,2026-02-08 01:56:05.621601
11,10376,,81,0,0,4,2025-10-26 01:56:05.629754
